id;code;description_lang;description_text;description_shorttext;geom_type
1011;101;en;101 Contour;Contour;Line
1012;101;it;101 Curva di livello;Curva di livello;Line
1013;101;fr;101 text fr;text fr;Line
1014;101;de;101 text de;text de;Line
1021;102;en;102 Index contour;Index contour;Line
1022;102;it;102 Curva direttrice;Curva direttrice;Line
1023;102;fr;102 text fr;text fr;Line
1024;102;de;102 text de;text de;Line
1031;103;en;103 Form line;Form line;Line
1032;103;it;103 Curva ausiliaria;Curva ausiliaria;Line
1033;103;fr;103 text fr;text fr;Line
1034;103;de;103 text de;text de;Line
1041;104;en;104 Earth bank;Earth bank;Line
1042;104;it;104 Scarpata;Scarpata;Line
1043;104;fr;104 text fr;text fr;Line
1044;104;de;104 text de;text de;Line
1051;105;en;105 Earth wall;Earth wall;Line
1052;105;it;105 Muro di terra (terrapieno);Muro di terra (terrapieno);Line
1053;105;fr;105 text fr;text fr;Line
1054;105;de;105 text de;text de;Line
1061;106;en;106 Ruined earth wall;Ruined earth wall;Line
1062;106;it;106 Muro di terra (terrapieno) diroccato;Muro di terra (terrapieno) diroccato;Line
1063;106;fr;106 text fr;text fr;Line
1064;106;de;106 text de;text de;Line
1071;107;en;107 Erosion gully;Erosion gully;Line
1072;107;it;107 Fossa d'erosione;Fossa d'erosione;Line
1073;107;fr;107 text fr;text fr;Line
1074;107;de;107 text de;text de;Line
1081;108;en;108 Small erosion gully;Small erosion gully;Line
1082;108;it;108 Canaletto asciutto;Canaletto asciutto;Line
1083;108;fr;108 text fr;text fr;Line
1084;108;de;108 text de;text de;Line
1091;109;en;109 Small knoll;Small knoll;Point
1092;109;it;109 Cocuzzolo;Cocuzzolo;Point
1093;109;fr;109 text fr;text fr;Point
1094;109;de;109 text de;text de;Point
1101;110;en;110 Small elongated knoll;Small elongated knoll;Point
1102;110;it;110 Cocuzzolo allungato;Cocuzzolo allungato;Point
1103;110;fr;110 text fr;text fr;Point
1104;110;de;110 text de;text de;Point
1111;111;en;111 Small depression;Small depression;Point
1112;111;it;111 Piccola depressione;Piccola depressione;Point
1113;111;fr;111 text fr;text fr;Point
1114;111;de;111 text de;text de;Point
1121;112;en;112 Pit;Pit;Point
1122;112;it;112 Buca;Buca;Point
1123;112;fr;112 text fr;text fr;Point
1124;112;de;112 text de;text de;Point
1131;113;en;113 Broken ground;Broken ground;Surface
1132;113;it;113 Terreno sconnesso;Terreno sconnesso;Surface
1133;113;fr;113 text fr;text fr;Surface
1134;113;de;113 text de;text de;Surface
1141;114;en;114 Very broken ground;Very broken ground;Surface
1142;114;it;114 Terreno molto sconnesso;Terreno molto sconnesso;Surface
1143;114;fr;114 text fr;text fr;Surface
1144;114;de;114 text de;text de;Surface
1151;115;en;115 Prominent landform feature;Prominent landform feature;Point
1152;115;it;115 Evidente oggetto particolare nel terreno;Evidente oggetto particolare nel terreno;Point
1153;115;fr;115 text fr;text fr;Point
1154;115;de;115 text de;text de;Point
2011;201;en;201 Impassable cliff;Impassable cliff;Line
2012;201;it;201 Parete non attraversabile;Parete non attraversabile;Line
2013;201;fr;201 text fr;text fr;Line
2014;201;de;201 text de;text de;Line
2021;202;en;202 Cliff;Cliff;Line
2022;202;it;202 Parete di roccia;Parete di roccia;Line
2023;202;fr;202 text fr;text fr;Line
2024;202;de;202 text de;text de;Line
2031;203;en;203 Rocky pit or cave;Rocky pit or cave;Point
2032;203;it;203 Buca rocciosa o cavernosa;Buca rocciosa o cavernosa;Point
2033;203;fr;203 text fr;text fr;Point
2034;203;de;203 text de;text de;Point
2041;204;en;204 Boulder;Boulder;Point
2042;204;it;204 Masso;Masso;Point
2043;204;fr;204 text fr;text fr;Point
2044;204;de;204 text de;text de;Point
2051;205;en;205 Large boulder;Large boulder;Point
2052;205;it;205 Grande masso;Grande masso;Point
2053;205;fr;205 text fr;text fr;Point
2054;205;de;205 text de;text de;Point
2061;206;en;206 Gigantic boulder or rock pillar;Gigantic boulder or rock pillar;Surface
2062;206;it;206 Masso enorme o pilastro di roccia;Masso enorme o pilastro di roccia;Surface
2063;206;fr;206 text fr;text fr;Surface
2064;206;de;206 text de;text de;Surface
2071;207;en;207 Boulder cluster;Boulder cluster;Point
2072;207;it;207 Cumulo di massi;Cumulo di massi;Point
2073;207;fr;207 text fr;text fr;Point
2074;207;de;207 text de;text de;Point
2081;208;en;208 Boulder field;Boulder field;Surface
2082;208;it;208 Massi sparsi;Massi sparsi;Surface
2083;208;fr;208 text fr;text fr;Surface
2084;208;de;208 text de;text de;Surface
2091;209;en;209 Dense boulder field;Dense boulder field;Surface
2092;209;it;209 Massi densamente sparsi;Massi densamente sparsi;Surface
2093;209;fr;209 text fr;text fr;Surface
2094;209;de;209 text de;text de;Surface
2101;210;en;210 Stony ground, slow tunning;Stony ground, slow tunning;Surface
2102;210;it;210 Terreno sassoso, corsa lenta;Terreno sassoso, corsa lenta;Surface
2103;210;fr;210 text fr;text fr;Surface
2104;210;de;210 text de;text de;Surface
2111;211;en;211 Stony ground, walk;Stony ground, walk;Surface
2112;211;it;211 Terreno sassoso, al passo;Terreno sassoso, al passo;Surface
2113;211;fr;211 text fr;text fr;Surface
2114;211;de;211 text de;text de;Surface
2121;212;en;212 Stony ground, fight;Stony ground, fight;Surface
2122;212;it;212 Terreno sassoso, attraversamento difficile;Terreno sassoso, attraversamento difficile;Surface
2123;212;fr;212 text fr;text fr;Surface
2124;212;de;212 text de;text de;Surface
2131;213;en;213 Sandy ground;Sandy ground;Surface
2132;213;it;213 Terreno sabbioso;Terreno sabbioso;Surface
2133;213;fr;213 text fr;text fr;Surface
2134;213;de;213 text de;text de;Surface
2141;214;en;214 Bare rock;Bare rock;Surface
2142;214;it;214 Roccia nuda;Roccia nuda;Surface
2143;214;fr;214 text fr;text fr;Surface
2144;214;de;214 text de;text de;Surface
2151;215;en;215 Trench;Trench;Line
2152;215;it;215 Trincea;Trincea;Line
2153;215;fr;215 text fr;text fr;Line
